사업자명,미래에셋증권,,,,,,,,,,,,,,,,,,,,,,,
제도유형,DC/IRP,,,,,,,,,,,,,,,,,,,,,,,
상품유형,실적배당형 상품(펀드/ETF),,,,,,,,,,,,,,,,,,,,,,,
기준일,"2026-01-01, 제로인",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
※ 1년 수익률 상위순으로 펀드/ETF를 배열하였습니다. 1년 이상 기간의 수익률은 연평균 수익률입니다. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,"해당상품 수익률(%)(세전, 연)",,,,,,"참고지수 수익률(%)(세전, 연)",,,,,,,합성총보수 · 비용,,,,,,,,
K55105D67108,삼성KODEX200ITTotalReturn증권상장지수투자신탁[주식],삼성운용,,,10.88,31.47,120.25,76.83,,,9.25,27.68,90.67,46.83,2등급(높은 위험),0.18,"1,800",717,20200924,,ETF,,,
KR5225A18067,미래에셋TIGER200IT증권상장지수투자신탁(주식),미래에셋운용,16.32,18.27,10.71,31.16,119.28,76.42,15.43,17.42,10.04,30.08,117.84,76.35,2등급(높은 위험),0.44,"4,400","6,001",20110405,계열사,ETF,,,
K55223DB4890,KBRISEFn수소경제테마증권상장지수투자신탁(주식),KB운용,,,9.93,26.90,119.13,24.53,,,9.25,27.68,90.67,46.83,2등급(높은 위험),0.51,"5,100","1,179",20201028,,ETF,,,
KR5225578230,미래에셋TIGER반도체증권상장지수투자신탁(주식),미래에셋운용,15.08,21.24,14.29,42.31,118.79,67.79,14.18,20.47,13.41,41.48,115.60,66.10,1등급(매우 높은 위험),0.48,"4,800","4,912",20060626,계열사,ETF,,,
K55105DW7453,삼성KODEX로봇액티브증권상장지수투자신탁[주식],삼성운용,,,,41.05,117.57,52.45,,,,27.68,90.67,46.83,2등급(높은 위험),0.57,"5,700","5,097",20221110,,ETF,,,
KR5105578185,삼성KODEX반도체증권상장지수투자신탁[주식],삼성운용,14.41,20.69,13.66,41.74,116.11,66.08,14.18,20.47,13.41,41.48,115.60,66.10,1등급(매우 높은 위험),0.46,"4,600","17,135",20060626,,ETF,,,
KR5105837847,삼성KODEX증권주증권상장지수투자신탁[주식],삼성운용,13.22,18.55,20.19,43.93,113.90,10.08,9.20,13.62,15.03,38.12,107.56,8.65,2등급(높은 위험),0.46,"4,600","4,404",20080528,,ETF,,,
K55232C99584,NH-Amundi필승코리아증권투자신탁[주식]ClassC-P2e(퇴직연금),NH-Amundi운용,,,16.35,36.11,112.59,54.29,,,9.25,27.68,90.67,46.83,2등급(높은 위험),0.67,"6,700","1,251",20190826,,,,,
K55232C99576,NH-Amundi필승코리아증권투자신탁[주식]ClassC-P2(퇴직연금),NH-Amundi운용,,,16.23,35.99,112.56,54.34,,,9.25,27.68,90.67,46.83,2등급(높은 위험),0.80,"8,000",177,20190828,,,,,
K55210E57725,신한SOL조선TOP3플러스증권상장지수투자신탁[주식],신한자산운용,,,,,110.74,25.40,,,,,97.43,27.60,2등급(높은 위험),0.51,"5,100","18,631",20231004,,ETF,,,
K55240EC9136,BNKBNK온디바이스AI증권상장지수투자신탁(주식),BNK자산운용,,,,,110.52,74.16,,,,,90.67,46.83,2등급(높은 위험),0.54,"5,400",271,20240722,,ETF,,,
K55105CG9781,삼성KODEXTop5PlusTotalReturn증권상장지수투자신탁[주식],삼성운용,,,19.73,45.84,109.91,65.58,,,9.25,27.68,90.67,46.83,2등급(높은 위험),0.19,"1,900","13,192",20190121,,ETF,,,
K55232BV9078,NH-Amundi 차세대리더증권투자신탁[주식]ClassC-P2e(퇴직연금),NH-Amundi운용,,15.70,13.17,30.20,109.60,52.05,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.97,"9,700",78,20171226,,,,,
K55301EE9692,미래에셋TIGER조선TOP10증권상장지수투자신탁(주식),미래에셋운용,,,,,106.72,27.35,,,,,90.67,46.83,2등급(높은 위험),0.41,"4,100","9,485",20241021,계열사,ETF,,,
K55105BM5634,삼성KODEX IT증권상장지수투자신탁(주식),삼성운용,,16.98,9.47,29.01,106.65,71.05,,15.50,7.75,26.35,106.27,71.24,2등급(높은 위험),0.47,"4,700",362,20170327,,ETF,,,
K55301CW6508,미래에셋코어테크증권자투자신탁(주식)종류C-P2e,미래에셋운용,,,10.02,27.91,105.98,57.50,,,9.25,27.68,90.67,46.83,1등급(매우 높은 위험),1.07,"10,700","1,871",20191023,계열사,,,,
K55301C47545,미래에셋TIGER코리아TOP10증권상장지수투자신탁(주식),미래에셋운용,,17.62,10.97,34.59,105.54,67.14,,13.81,8.50,28.61,102.73,60.48,2등급(높은 위험),0.19,"1,900","13,263",20180329,계열사,ETF,,,
K55301CW6490,미래에셋코어테크증권자투자신탁(주식)종류C-P2,미래에셋운용,,,9.67,27.52,105.38,57.28,,,9.25,27.68,90.67,46.83,1등급(매우 높은 위험),1.40,"14,000",246,20191023,계열사,,,,
K55223C37088,KBRISEESG사회책임투자증권상장지수투자신탁(주식),KB운용,,18.07,15.33,37.08,105.28,59.82,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.33,"3,300","1,072",20180226,,ETF,,,
K55206E61196,키움KIWOOMK-테크TOP10증권상장지수투자신탁[주식],키움투자운용,,,,,104.88,55.13,,,,,90.67,46.83,2등급(높은 위험),0.75,"7,500",141,20231030,,ETF,,,
K55213DR8713,한화PLUS우주항공&UAM증권상장지수투자신탁(주식),한화운용,,,,43.25,101.81,11.21,,,,27.68,90.67,46.83,2등급(높은 위험),0.53,"5,300",579,20220328,,ETF,,,
K55224DK4104,흥국HK베스트일레븐액티브증권상장지수투자신탁(주식),흥국운용,,,,32.54,101.60,36.68,,,,27.68,90.67,46.83,2등급(높은 위험),0.40,"4,000",153,20210705,,ETF,,,
K55210E84646,신한SOL반도체후공정증권상장지수투자신탁[주식],신한자산운용,,,,,101.23,55.63,,,,,90.67,46.83,2등급(높은 위험),0.53,"5,300",242,20240213,,ETF,,,
K553N9EC3266,삼성액티브KoActAI인프라액티브증권상장지수투자신탁[주식],삼성액티브자산운용,,,,,100.97,49.77,,,,,90.67,46.83,2등급(높은 위험),0.56,"5,600",313,20240708,,ETF,,,
K55105DW7461,삼성KODEX친환경조선해운액티브증권상장지수투자신탁[주식],삼성운용,,,,45.86,100.90,25.33,,,,27.68,90.67,46.83,2등급(높은 위험),0.56,"5,600",683,20221110,,ETF,,,
KR5213185071,한화PLUS코스피50증권상장지수투자신탁(주식),한화운용,13.10,16.13,11.70,32.00,100.83,56.81,10.99,13.91,9.49,29.30,97.24,56.14,2등급(높은 위험),0.37,"3,700",394,20100106,,ETF,,,
K55240E32568,BNKBNK미래전략기술액티브증권상장지수투자신탁(주식),BNK자산운용,,,,,98.96,38.42,,,,,90.67,46.83,2등급(높은 위험),0.60,"6,000",109,20230619,,ETF,,,
K55105BQ9418,삼성KODEX우량주증권상장지수투자신탁[주식],삼성운용,,12.17,8.99,31.01,97.96,56.69,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.35,"3,500",225,20170710,,ETF,,,
KR5207A24857,교보악사파워K100증권상장지수투자신탁[주식],교보악사운용,12.32,15.31,11.64,30.83,96.78,50.63,9.99,12.88,9.21,28.37,92.91,49.82,2등급(높은 위험),0.18,"1,800",263,20110428,,ETF,,,
K55105B98537,삼성KODEX코스피100증권상장지수투자신탁[주식],삼성운용,,15.10,11.35,30.68,96.66,50.62,,12.61,8.85,27.66,92.91,49.82,2등급(높은 위험),0.16,"1,600","2,706",20160126,,ETF,,,
KR5105837854,삼성KODEX기계장비증권상장지수투자신탁[주식],삼성운용,10.34,15.64,23.01,38.50,96.64,27.40,10.48,15.30,22.99,38.72,97.43,27.60,1등급(매우 높은 위험),0.47,"4,700",192,20080528,,ETF,,,
K55301CG5815,미래에셋TIGERMSCIKOREATotalReturn증권상장지수투자신탁(주식),미래에셋운용,,14.79,10.40,29.45,96.36,53.84,,11.79,4.53,23.71,93.76,51.39,2등급(높은 위험),0.16,"1,600","30,322",20181119,계열사,ETF,,,
KR5216AB3979,DB마이티K100증권상장지수투자신탁[주식],DB자산운용,12.09,15.20,11.59,31.13,96.35,50.76,9.81,12.61,8.85,27.66,92.91,49.82,2등급(높은 위험),0.39,"3,900",134,20120704,,ETF,,,
K55104C97522,브이아이코리아통일르네상스증권자투자신탁[주식]C-Pe,브이아이운용,,16.34,11.88,29.42,96.35,37.62,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.95,"9,500",8,20180612,,,,,
K55107DY2526,우리WON200증권상장지수투자신탁(주식),우리운용,,,,30.51,96.32,48.50,,,,27.68,90.67,46.83,2등급(높은 위험),0.06,600,707,20221215,,ETF,,,
K55105CX1894,삼성KODEX 200ESG증권상장지수투자신탁[주식],삼성운용,,,15.12,34.95,96.29,54.52,,,9.25,27.68,90.67,46.83,2등급(높은 위험),0.12,"1,200",570,20191113,,ETF,,,
K55105BW1235,삼성KODEX MSCI KOREATotalReturn증권상장지수투자신탁[주식],삼성운용,,14.72,10.36,29.37,96.16,53.78,,12.41,8.30,27.19,92.41,53.00,2등급(높은 위험),0.12,"1,200","16,790",20171108,,ETF,,,
KR5391A83228,키움KIWOOM100증권상장지수투자신탁[주식],키움투자운용,11.99,14.89,11.07,30.37,96.14,50.45,9.81,12.61,8.85,27.66,92.91,49.82,2등급(높은 위험),0.24,"2,400",176,20120228,,ETF,,,
K553H6E00495,더제이더행복코리아증권자투자신탁[주식]종류C-P2e,더제이운용,,,,,96.11,40.54,,,,,90.67,46.83,2등급(높은 위험),1.20,"12,000",120,20230125,,,,,
K55232CU2974,NH-AmundiHANAROMSCIKoreaTR증권상장지수투자신탁[주식],NH-Amundi운용,,,10.31,29.31,96.07,53.75,,,8.30,27.19,92.41,53.00,2등급(높은 위험),0.18,"1,800",630,20190827,,ETF,,,
KR5105AA2075,삼성KODEX MSCI KOREA증권상장지수투자신탁[주식],삼성운용,12.10,14.65,10.31,29.23,95.92,53.64,10.03,12.41,8.30,27.19,92.41,53.00,2등급(높은 위험),0.13,"1,300",198,20120427,,ETF,,,
K553F0E44647,디에스Maestro증권자투자신탁[주식] 종류C-P2e,디에스운용,,,,,95.73,26.16,,,,,90.67,46.83,2등급(높은 위험),1.24,"12,400",185,20230712,,,,,
K55102C96528,하나IT코리아증권자투자신탁 1[주식]ClassC-P2E,하나운용,,,9.07,25.72,95.21,54.37,,,10.82,32.94,127.93,90.81,2등급(높은 위험),1.16,"11,600",181,20200214,,,,,
KR5236267161,한국밸류10년투자퇴직연금증권자투자신탁 1(주식)(C-E),한국투자밸류운용,,11.84,11.21,27.46,95.05,37.14,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.95,"9,500",175,20170802,,,,,
K55102DZ8758,하나1Q200액티브증권상장지수투자신탁[주식],하나운용,,,,,94.99,47.86,,,,,90.67,46.83,2등급(높은 위험),0.19,"1,900","1,547",20230130,,ETF,,,
K55105BW3843,삼성KODEX200TotalReturn증권상장지수투자신탁[주식],삼성운용,,15.07,11.49,30.18,94.87,47.86,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.08,800,"41,376",20171120,,ETF,,,
KR5223A66905,KBRISE200증권상장지수투자신탁(주식),KB운용,11.98,15.12,11.55,30.19,94.83,47.87,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.04,400,"22,468",20111019,,ETF,,,
K55223D93485,KBRISE200TotalReturn증권상장지수투자신탁(주식),KB운용,,,11.63,30.13,94.79,47.90,,,9.25,27.68,90.67,46.83,2등급(높은 위험),0.05,500,"3,459",20200820,,ETF,,,
K55101CT6711,한국투자ACE200TotalReturn증권상장지수투자신탁(주식),한국투자신탁운용,,,11.50,30.07,94.78,47.87,,,9.25,27.68,90.67,46.83,2등급(높은 위험),0.05,500,856,20190827,,ETF,,,
KR5225812712,미래에셋TIGER200증권상장지수투자신탁(주식),미래에셋운용,12.00,15.11,11.54,30.12,94.77,47.79,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.07,700,"45,274",20080402,계열사,ETF,,,
K55203DT1106,대신DAISHIN343K200증권상장지수투자신탁[주식],대신운용,,,,30.40,94.77,47.60,,,,27.68,90.67,46.83,2등급(높은 위험),0.15,"1,500",431,20220627,,ETF,,,
K55224ED5836,흥국HK200증권상장지수투자신탁[주식],흥국운용,,,,,94.73,47.85,,,,,90.67,46.83,2등급(높은 위험),0.09,900,583,20240909,,ETF,,,
KR5206352894,키움KIWOOM200상장지수증권투자신탁[주식],키움투자운용,11.89,14.99,11.41,30.07,94.71,47.76,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.07,700,"5,303",20021011,,ETF,,,
KR5101877748,한국투자ACE200증권상장지수투자신탁(주식),한국투자신탁운용,11.89,15.01,11.47,30.03,94.67,47.87,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.04,400,"7,081",20080910,,ETF,,,
KR5207A82418,교보악사파워K200증권상장지수투자신탁(주식),교보악사운용,12.03,15.21,11.70,30.15,94.62,47.72,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.17,"1,700","1,017",20120210,,ETF,,,
K55213EE1753,한화PLUS200TotalReturn증권상장지수투자신탁(주식),한화운용,,,,,94.61,47.84,,,,,90.67,46.83,2등급(높은 위험),0.05,500,324,20240909,,ETF,,,
K55206C46472,키움KIWOOM200TotalReturn증권상장지수투자신탁[주식],키움투자운용,,15.08,11.48,30.10,94.56,47.79,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.04,400,"12,910",20180420,,ETF,,,
KR5105352888,삼성KODEX200증권상장지수투자신탁[주식],삼성운용,11.87,14.97,11.41,30.02,94.54,47.71,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.16,"1,600","116,969",20021011,,ETF,,,
KR5213A73001,한화PLUS200증권상장지수투자신탁(주식),한화운용,12.03,15.22,11.69,30.16,94.53,47.75,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.04,400,"10,700",20120109,,ETF,,,
K55210C54247,신한SOL200TotalReturn증권상장지수투자신탁[주식],신한자산운용,,15.03,11.46,30.04,94.52,47.75,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.08,800,"2,588",20180420,,ETF,,,
K55232C57764,NH-AmundiHANARO200증권상장지수투자신탁[주식],NH-Amundi운용,,15.05,11.47,30.06,94.50,47.70,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.06,600,"5,202",20180329,,ETF,,,
K55105EE6431,삼성KODEX200액티브증권상장지수투자신탁[주식-파생형],삼성운용,,,,,94.49,47.61,,,,,90.67,46.83,2등급(높은 위험),0.16,"1,600","5,919",20241028,,ETF,,,
K55301CG5203,미래에셋TIGER200TotalReturn증권상장지수투자신탁(주식),미래에셋운용,,14.99,11.38,29.99,94.48,47.62,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.12,"1,200","1,667",20181119,계열사,ETF,,,
K55232CU2966,NH-AmundiHANARO200TotalReturn증권상장지수투자신탁[주식],NH-Amundi운용,,,11.47,30.08,94.44,47.78,,,9.25,27.68,90.67,46.83,2등급(높은 위험),0.07,700,"1,033",20190827,,ETF,,,
K55105BU5998,삼성퇴직연금KOSPI200증권자투자신탁 1[주식]_Ce,삼성운용,,14.60,11.38,29.71,94.43,47.70,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.42,"4,200","1,566",20170822,,,,,
KR5236263400,한국밸류10년투자퇴직연금증권자투자신탁 1(주식)(C),한국투자밸류운용,6.71,11.40,10.78,26.97,94.35,36.89,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),1.35,"13,500",80,20130704,,,,,
K55207BU0715,교보악사파워인덱스증권자투자신탁 1(주식)ClassC-Pe,교보악사운용,,15.18,11.69,30.10,94.34,47.62,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.48,"4,800","2,479",20170814,,,,,
K55234E63129,IBKITF200증권상장지수투자신탁[주식],아이비케이운용,,,,,94.25,47.53,,,,,90.67,46.83,2등급(높은 위험),0.11,"1,100",167,20231220,,ETF,,,
K55363C09578,트러스톤핀셋코어증권자투자신탁[주식]Cp2-E클래스,트러스톤운용,,15.96,15.46,36.23,94.21,24.84,,5.83,4.26,11.13,34.81,8.55,2등급(높은 위험),1.10,"11,000",60,20180201,,,,,
K55223EF9191,KBRISE코리아밸류업증권상장지수투자신탁(주식),KB운용,,,,,94.10,46.66,,,,,90.67,46.83,2등급(높은 위험),0.03,300,"3,807",20241101,,ETF,,,
K55105BU5980,삼성퇴직연금KOSPI200증권자투자신탁 1[주식]_C,삼성운용,11.36,14.38,11.16,29.46,94.08,47.57,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.61,"6,100",824,20060328,,,,,
KR5307905228,유리TREX200증권상장지수투자신탁(주식),유리운용,12.02,15.32,11.86,29.95,94.01,47.59,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.37,"3,700",122,20090122,,ETF,,,
K55102EF9791,하나1Q코리아밸류업증권상장지수투자신탁[주식],하나운용,,,,,93.99,46.36,,,,,90.67,46.83,2등급(높은 위험),0.02,200,600,20241101,,ETF,,,
K55105BQ9400,삼성KODEX모멘텀주증권상장지수투자신탁[주식],삼성운용,,16.92,14.40,39.80,93.96,32.71,,12.73,9.25,27.68,90.67,46.83,1등급(매우 높은 위험),0.35,"3,500",169,20170710,,ETF,,,
K55206EF9358,키움KIWOOM코리아밸류업증권상장지수투자신탁[주식],키움투자운용,,,,,93.94,46.46,,,,,90.67,46.83,2등급(높은 위험),0.05,500,726,20241101,,ETF,,,
K55213EF9375,한화PLUS코리아밸류업증권상장지수투자신탁(주식),한화운용,,,,,93.94,46.56,,,,,90.67,46.83,2등급(높은 위험),0.09,900,431,20241101,,ETF,,,
KR5207A10369,교보악사파워인덱스증권자투자신탁 1[주식]ClassCP,교보악사운용,11.54,14.84,11.36,29.73,93.81,47.41,9.69,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.78,"7,800",618,20150629,,,,,
KR5301AA1251,미래에셋TIGER증권증권상장지수투자신탁(주식),미래에셋운용,14.07,21.14,23.92,48.36,93.78,10.95,9.20,13.62,15.03,38.12,107.56,8.65,2등급(높은 위험),0.45,"4,500","1,672",20120515,계열사,ETF,,,
K55232EF9588,NH-AmundiHANARO코리아밸류업증권상장지수투자신탁[주식],NH-Amundi운용,,,,,93.69,46.45,,,,,90.67,46.83,2등급(높은 위험),0.07,700,380,20241101,,ETF,,,
K55105EF9186,삼성KODEX코리아밸류업증권상장지수투자신탁[주식],삼성운용,,,,,93.64,46.55,,,,,90.67,46.83,2등급(높은 위험),0.03,300,"3,007",20241101,,ETF,,,
K55226BZ7845,HDC좋은지배구조증권투자신탁 1(주식)ClassC-Pe,HDC운용,,,11.79,27.40,93.62,46.85,,,9.25,27.68,90.67,46.83,2등급(높은 위험),1.25,"12,500",11,20171208,,,,,
K55210C54403,신한패러다임코리아증권자투자신탁[주식](종류C-re),신한자산운용,,18.13,13.08,25.08,93.60,36.40,,5.83,4.26,11.13,34.81,8.55,2등급(높은 위험),1.10,"11,000",125,20180629,,,,,
K55301C21037,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),미래에셋운용,,12.74,9.41,28.55,93.54,46.96,,8.15,8.88,17.88,51.13,18.75,2등급(높은 위험),0.46,"4,600",126,20180206,계열사,ETF,,,
K55301EF9618,미래에셋TIGER코리아밸류업증권상장지수투자신탁(주식),미래에셋운용,,,,,93.47,46.41,,,,,90.67,46.83,2등급(높은 위험),0.03,300,"1,632",20241101,계열사,ETF,,,
K55210EF9550,신한SOL코리아밸류업TotalReturn증권상장지수투자신탁[주식],신한자산운용,,,,,93.46,46.43,,,,,90.67,46.83,2등급(높은 위험),0.09,900,658,20241101,,ETF,,,
K55101BW5206,한국투자퇴직연금인덱스증권자투자신탁 1(주식)C-e,한국투자신탁운용,,14.73,11.04,29.46,93.42,47.38,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.30,"3,000",113,20171121,,,,,
K55203EA9349,대신DAISHIN343AI반도체&인프라액티브증권상장지수투자신탁[주식],대신운용,,,,,93.42,53.55,,,,,90.67,46.83,2등급(높은 위험),0.42,"4,200",466,20240617,,ETF,,,
K55105BZ5845,삼성KODEX MSCI ESG유니버설증권상장지수투자신탁[주식형],삼성운용,,14.49,10.80,29.28,93.15,50.87,,12.73,9.25,27.68,90.67,46.83,2등급(높은 위험),0.35,"3,500",126,20180206,,ETF,,,
