사업자명,미래에셋증권,,,,,,,,,,,,,,,,,,,,,,,
제도유형,DC/IRP,,,,,,,,,,,,,,,,,,,,,,,
상품유형,실적배당형 상품(펀드/ETF),,,,,,,,,,,,,,,,,,,,,,,
기준일,"2026-01-01, 제로인",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
※ 1년 수익률 상위순으로 펀드/ETF를 배열하였습니다. 1년 이상 기간의 수익률은 연평균 수익률입니다. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,"해당상품 수익률(%)(세전, 연)",,,,,,"참고지수 수익률(%)(세전, 연)",,,,,,,합성총보수 · 비용,,,,,,,,
펀드코드,펀드명,운용회사명,수익률(10Y),수익률(7Y),수익률(5Y),수익률(3Y),수익률(1Y),수익률(6M),BM수익률(10Y),BM수익률(7Y),BM수익률(5Y),BM수익률(3Y),BM수익률(1Y),BM수익률(6M),위험등급,비율(%),1년투자비용(원),순자산총액(억원),설정일,계열사 여부,비고,,,
K55232DU8475,NH-AmundiHANARO원자력iSelect증권상장지수투자신탁(주식),NH-Amundi운용,,,,70.34,178.03,30.03,,,,27.68,90.67,46.83,2등급(높은 위험),0.52,"5,200","5,084",20220627,,ETF,,,
K55213DZ4142,한화PLUSK방산증권상장지수투자신탁(주식),한화운용,,,,,177.74,5.49,,,,,90.67,46.83,2등급(높은 위험),0.51,"5,100","11,968",20230104,,ETF,,,
K55213DW6843,한화PLUS글로벌HBM반도체증권상장지수투자신탁(주식),한화운용,,,,67.17,168.71,105.30,,,,35.58,23.10,18.79,1등급(매우 높은 위험),0.67,"6,700",705,20220920,,ETF,,,
K55301E34424,미래에셋TIGERK방산&우주증권상장지수투자신탁(주식),미래에셋운용,,,,,159.46,-0.58,,,,,90.67,46.83,2등급(높은 위험),0.51,"5,100","2,531",20230724,계열사,ETF,,,
K55105EC1749,삼성KODEXAI전력핵심설비증권상장지수투자신탁[주식],삼성운용,,,,,151.44,54.59,,,,,90.67,46.83,2등급(높은 위험),0.46,"4,600","10,605",20240708,,ETF,,,
K55373EF1006,현대UNICORNSK하이닉스밸류체인액티브증권상장지수투자신탁[주식],현대자산운용,,,,,148.43,70.05,,,,,90.67,46.83,2등급(높은 위험),0.59,"5,900",724,20241106,,ETF,,,
K55232EE1347,NH-AmundiHANARO전력설비투자증권상장지수투자신탁(주식),NH-Amundi운용,,,,,145.99,54.00,,,,,90.67,46.83,2등급(높은 위험),0.43,"4,300",789,20240923,,ETF,,,
K55232E64931,NH-AmundiHANARO글로벌금채굴기업증권상장지수투자신탁[주식],NH-Amundi운용,,,,,144.31,74.15,,,,,22.79,18.11,2등급(높은 위험),0.58,"5,800",706,20240116,,ETF,,,
K55107E85195,우리WON반도체밸류체인액티브증권상장지수투자신탁(주식),우리운용,,,,,144.13,74.27,,,,,90.67,46.83,2등급(높은 위험),0.37,"3,700","1,061",20240115,,ETF,,,
K55213E13359,한화PLUS태양광&ESS증권상장지수투자신탁(주식),한화운용,,,,,143.37,33.23,,,,,90.67,46.83,2등급(높은 위험),0.53,"5,300",404,20230619,,ETF,,,
K55101DU0363,한국투자ACE원자력TOP10증권상장지수투자신탁(주식),한국투자신탁운용,,,,59.06,142.73,24.02,,,,27.68,90.67,46.83,2등급(높은 위험),0.35,"3,500","1,264",20220627,,ETF,,,
KR5225A18083,미래에셋TIGER200중공업증권상장지수투자신탁(주식),미래에셋운용,19.16,23.22,36.42,67.94,141.15,21.84,17.91,22.47,36.22,68.23,141.68,22.09,1등급(매우 높은 위험),0.43,"4,300","4,248",20110405,계열사,ETF,,,
K55210EE0741,신한SOLK방산증권상장지수투자신탁[주식],신한자산운용,,,,,140.47,7.56,,,,,90.67,46.83,2등급(높은 위험),0.53,"5,300",862,20240930,,ETF,,,
K55232E17012,NH-AmundiHANAROCAPEX설비투자iSelect증권상장지수투자신탁(주식),NH-Amundi운용,,,,,136.68,34.07,,,,,65.00,11.44,2등급(높은 위험),0.52,"5,200",897,20230417,,ETF,,,
K55223DB4882,KBRISE네트워크인프라증권상장지수투자신탁(주식),KB운용,,,13.56,43.55,136.56,88.07,,,9.25,27.68,90.67,46.83,1등급(매우 높은 위험),0.51,"5,100","1,403",20201028,,ETF,,,
K55213EG3153,한화PLUS한화그룹주증권상장지수투자신탁(주식),한화운용,,,,,136.20,5.53,,,,,90.67,46.83,2등급(높은 위험),0.25,"2,500","1,399",20241223,,ETF,,,
K55232DL2867,NH-AmundiHANAROFnK-반도체증권상장지수투자신탁(주식),NH-Amundi운용,,,,46.21,135.22,82.40,,,,27.68,90.67,46.83,1등급(매우 높은 위험),0.51,"5,100","8,921",20210729,,ETF,,,
K55105DI5372,삼성KODEXAI반도체증권상장지수투자신탁[주식],삼성운용,,,,40.48,130.49,72.92,,,,27.68,90.67,46.83,1등급(매우 높은 위험),0.51,"5,100","8,073",20210729,,ETF,,,
K55366BT9674,iM에셋월드골드증권자투자신탁(주식-재간접형)(H)(C-Rpe),iM에셋운용,,18.77,14.84,38.65,130.12,56.57,,24.66,20.19,48.14,166.67,79.64,1등급(매우 높은 위험),1.22,"12,200",632,20170808,,,,,
K55366B44729,iM에셋월드골드증권자투자신탁(주식-재간접형)(H)(C-Rp),iM에셋운용,,18.47,14.56,38.32,129.64,56.41,,24.66,20.19,48.14,166.67,79.64,1등급(매우 높은 위험),1.47,"14,700",29,20160310,,,,,
K55301DE7374,미래에셋TIGERFn신재생에너지증권상장지수투자신탁(주식),미래에셋운용,,,,27.10,129.02,34.55,,,,27.68,90.67,46.83,1등급(매우 높은 위험),0.56,"5,600",734,20210304,계열사,ETF,,,
K55366BU9598,iM에셋월드골드증권자투자신탁(주식-재간접형)(UH)(C-Rpe),iM에셋운용,,25.00,23.36,47.42,126.73,66.78,,29.13,26.93,54.61,162.21,89.91,1등급(매우 높은 위험),1.22,"12,200",436,20170929,,,,,
K55366BU9572,iM에셋월드골드증권자투자신탁(주식-재간접형)(UH)(C-Rp),iM에셋운용,,24.70,23.07,47.07,126.24,66.60,,29.13,26.93,54.61,162.21,89.91,1등급(매우 높은 위험),1.47,"14,700",10,20180618,,,,,
K55210DX6936,신한SOL코리아메가테크액티브증권상장지수투자신탁[주식],신한자산운용,,,,46.36,125.68,41.32,,,,27.68,90.67,46.83,2등급(높은 위험),0.63,"6,300","3,627",20221017,,ETF,,,
K55223CJ3036,KBRISE대형고배당10TotalReturn증권상장지수투자신탁(주식),KB운용,,,21.16,45.88,124.86,72.96,,,9.25,27.68,90.67,46.83,2등급(높은 위험),0.13,"1,300","1,428",20190121,,ETF,,,
K55101E67600,한국투자ACEAI반도체포커스증권상장지수투자신탁(주식),한국투자신탁운용,,,,,122.91,70.82,,,,,90.67,46.83,2등급(높은 위험),0.36,"3,600","1,336",20231016,,ETF,,,
K55301DL2400,미래에셋TIGER반도체TOP10증권상장지수투자신탁(주식),미래에셋운용,,,,47.18,121.14,68.84,,,,27.68,90.67,46.83,1등급(매우 높은 위험),0.51,"5,100","28,307",20210809,계열사,ETF,,,
K55301E68232,미래에셋TIGER코리아테크액티브증권상장지수투자신탁(주식),미래에셋운용,,,,,120.59,76.88,,,,,90.67,46.83,2등급(높은 위험),0.79,"7,900",307,20231124,계열사,ETF,,,
