사업자명,미래에셋증권,,,,,,,,,,,,,,,,,,,,,,,
제도유형,DC/IRP,,,,,,,,,,,,,,,,,,,,,,,
상품유형,실적배당형 상품(펀드/ETF),,,,,,,,,,,,,,,,,,,,,,,
기준일,"2025-12-01, 제로인",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
※ 1년 수익률 상위순으로 펀드/ETF를 배열하였습니다. 1년 이상 기간의 수익률은 연평균 수익률입니다. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,"해당상품 수익률(%)(세전, 연)",,,,,,"참고지수 수익률(%)(세전, 연)",,,,,,,합성총보수 · 비용,,,,,,,,
펀드코드,펀드명,운용회사명,수익률(10Y),수익률(7Y),수익률(5Y),수익률(3Y),수익률(1Y),수익률(6M),BM수익률(10Y),BM수익률(7Y),BM수익률(5Y),BM수익률(3Y),BM수익률(1Y),BM수익률(6M),위험등급,비율(%),1년투자비용(원),순자산총액(억원),설정일,계열사 여부,비고,,,
K55101E67600,한국투자ACEAI반도체포커스증권상장지수투자신탁(주식),한국투자신탁운용,,,,,115.80,87.52,,,,,70.23,54.05,2등급(높은 위험),0.36,"3,600","1,165",20231016,,ETF,,,
K55301CW6508,미래에셋코어테크증권자투자신탁(주식)종류C-P2e,미래에셋운용,,,13.08,20.88,113.90,82.96,,,9.87,19.95,70.23,54.05,1등급(매우 높은 위험),1.07,"10,700","1,490",20191023,계열사,,,,
K55105DW7461,삼성KODEX친환경조선해운액티브증권상장지수투자신탁[주식],삼성운용,,,,42.14,113.35,31.23,,,,19.95,70.23,54.05,2등급(높은 위험),0.56,"5,600",679,20221110,,ETF,,,
K55301CW6490,미래에셋코어테크증권자투자신탁(주식)종류C-P2,미래에셋운용,,,12.73,20.51,113.29,82.72,,,9.87,19.95,70.23,54.05,1등급(매우 높은 위험),1.40,"14,000",231,20191023,계열사,,,,
K55366BU9598,iM에셋월드골드증권자투자신탁(주식-재간접형)(UH)(C-Rpe),iM에셋운용,,25.18,23.35,45.53,111.80,61.51,,28.67,25.76,49.69,131.95,77.15,1등급(매우 높은 위험),1.22,"12,200",349,20170929,,,,,
K55366BU9572,iM에셋월드골드증권자투자신탁(주식-재간접형)(UH)(C-Rp),iM에셋운용,,24.88,23.05,45.18,111.35,61.35,,28.67,25.76,49.69,131.95,77.15,1등급(매우 높은 위험),1.47,"14,700",8,20180618,,,,,
KR5225578230,미래에셋TIGER반도체증권상장지수투자신탁(주식),미래에셋운용,14.42,18.12,15.49,32.36,109.01,81.84,13.42,17.15,14.54,31.20,105.65,80.39,1등급(매우 높은 위험),0.48,"4,800","4,279",20060626,계열사,ETF,,,
K55301DL2400,미래에셋TIGER반도체TOP10증권상장지수투자신탁(주식),미래에셋운용,,,,36.39,107.78,84.25,,,,19.95,70.23,54.05,1등급(매우 높은 위험),0.51,"5,100","18,466",20210809,계열사,ETF,,,
K55240EC9136,BNKBNK온디바이스AI증권상장지수투자신탁(주식),BNK자산운용,,,,,107.59,85.23,,,,,70.23,54.05,2등급(높은 위험),0.57,"5,700",198,20240722,,ETF,,,
KR5105578185,삼성KODEX반도체증권상장지수투자신탁[주식],삼성운용,13.75,17.59,14.88,31.86,106.41,79.79,13.42,17.15,14.54,31.20,105.65,80.39,1등급(매우 높은 위험),0.46,"4,600","15,072",20060626,,ETF,,,
K55232C99584,NH-Amundi필승코리아증권투자신탁[주식]ClassC-P2e(퇴직연금),NH-Amundi운용,,,18.07,28.68,106.32,65.18,,,9.87,19.95,70.23,54.05,2등급(높은 위험),0.67,"6,700",985,20190826,,,,,
K55232C99576,NH-Amundi필승코리아증권투자신탁[주식]ClassC-P2(퇴직연금),NH-Amundi운용,,,17.94,28.55,106.25,65.20,,,9.87,19.95,70.23,54.05,2등급(높은 위험),0.80,"8,000",161,20190828,,,,,
K553N9EC3266,삼성액티브KoActAI인프라액티브증권상장지수투자신탁[주식],삼성액티브자산운용,,,,,102.47,74.56,,,,,70.23,54.05,2등급(높은 위험),0.56,"5,600",299,20240708,,ETF,,,
K55232DV7591,NH-AmundiHANAROFn조선해운증권상장지수투자신탁(주식),NH-Amundi운용,,,,46.74,102.31,26.75,,,,19.95,70.23,54.05,2등급(높은 위험),0.51,"5,100","1,123",20220914,,ETF,,,
KR5105837847,삼성KODEX증권주증권상장지수투자신탁[주식],삼성운용,12.76,17.48,20.92,40.74,101.14,36.41,8.62,12.29,15.21,33.84,93.51,37.11,2등급(높은 위험),0.46,"4,600","4,595",20080528,,ETF,,,
K55223DB4890,KBRISEFn수소경제테마증권상장지수투자신탁(주식),KB운용,,,10.08,21.23,100.83,43.93,,,9.87,19.95,70.23,54.05,2등급(높은 위험),0.51,"5,100","1,148",20201028,,ETF,,,
K55373E91357,현대UNICORN포스트IPO액티브증권상장지수투자신탁[주식],현대자산운용,,,,,99.71,67.29,,,,,70.23,54.05,2등급(높은 위험),0.81,"8,100",54,20240226,,ETF,,,
K55105D67108,삼성KODEX200ITTotalReturn증권상장지수투자신탁[주식],삼성운용,,,13.00,21.66,99.64,91.77,,,9.87,19.95,70.23,54.05,2등급(높은 위험),0.19,"1,900",642,20200924,,ETF,,,
K55366BT9674,iM에셋월드골드증권자투자신탁(주식-재간접형)(H)(C-Rpe),iM에셋운용,,18.58,14.63,37.16,99.08,49.34,,23.92,18.84,45.29,121.09,66.38,1등급(매우 높은 위험),1.22,"12,200",559,20170808,,,,,
K55366B44729,iM에셋월드골드증권자투자신탁(주식-재간접형)(H)(C-Rp),iM에셋운용,,18.28,14.35,36.83,98.65,49.19,,23.92,18.84,45.29,121.09,66.38,1등급(매우 높은 위험),1.47,"14,700",27,20160310,,,,,
KR5225A18067,미래에셋TIGER200IT증권상장지수투자신탁(주식),미래에셋운용,14.88,15.41,12.84,21.37,98.60,91.11,13.89,14.40,12.00,20.11,97.09,91.39,2등급(높은 위험),0.44,"4,400","4,966",20110405,계열사,ETF,,,
K55232BV9078,NH-Amundi 차세대리더증권투자신탁[주식]ClassC-P2e(퇴직연금),NH-Amundi운용,,14.26,14.31,24.61,96.74,64.33,,10.73,9.87,19.95,70.23,54.05,2등급(높은 위험),0.97,"9,700",61,20171226,,,,,
KR5105837854,삼성KODEX기계장비증권상장지수투자신탁[주식],삼성운용,9.57,15.59,24.26,33.27,95.06,53.24,9.68,15.06,23.98,33.28,95.13,53.56,1등급(매우 높은 위험),0.47,"4,700",200,20080528,,ETF,,,
K55364DP6658,에셋플러스에셋플러스코리아대장장이액티브증권상장지수투자신탁(주식),에셋플러스운용,,,,23.89,94.95,49.15,,,,19.95,70.23,54.05,2등급(높은 위험),1.06,"10,600",171,20220919,,ETF,,,
K55223CJ3036,KBRISE대형고배당10TotalReturn증권상장지수투자신탁(주식),KB운용,,,21.20,34.81,94.91,75.87,,,9.87,19.95,70.23,54.05,2등급(높은 위험),0.13,"1,300","1,127",20190121,,ETF,,,
K55105BM5634,삼성KODEX IT증권상장지수투자신탁(주식),삼성운용,,14.89,11.21,19.94,94.46,86.46,,13.29,9.36,17.24,93.76,87.21,2등급(높은 위험),0.46,"4,600",333,20170327,,ETF,,,
K55363C09578,트러스톤핀셋코어증권자투자신탁[주식]Cp2-E클래스,트러스톤운용,,14.61,16.33,30.93,93.97,35.75,,5.63,5.39,9.23,32.46,17.72,2등급(높은 위험),1.10,"11,000",57,20180201,,,,,
K55210E09965,신한SOLAI반도체소부장증권상장지수투자신탁[주식],신한자산운용,,,,,92.70,70.03,,,,,105.65,80.39,2등급(높은 위험),0.51,"5,100","4,839",20230424,,ETF,,,
K55203EA9349,대신DAISHIN343AI반도체&인프라액티브증권상장지수투자신탁[주식],대신운용,,,,,92.26,73.81,,,,,70.23,54.05,2등급(높은 위험),0.42,"4,200",384,20240617,,ETF,,,
K55355DU3055,스팍스한국엄선투자증권자투자신탁(주식)RP-e,스팍스운용,,,,20.31,89.81,26.75,,,,19.95,70.23,54.05,2등급(높은 위험),1.11,"11,100",95,20220627,,,,,
K55306BT9560,다올VIP스타셀렉션증권자투자신탁[주식]종류CPe,다올운용,,20.58,15.10,23.91,88.27,53.94,,10.73,9.87,19.95,70.23,54.05,1등급(매우 높은 위험),0.96,"9,600",431,20170814,,,,,
K55104C97522,브이아이코리아통일르네상스증권자투자신탁[주식]C-Pe,브이아이운용,,15.66,13.23,25.46,88.02,56.24,,10.73,9.87,19.95,70.23,54.05,2등급(높은 위험),0.95,"9,500",8,20180612,,,,,
K55101DY2753,한국투자ACE글로벌반도체TOP4Plus증권상장지수투자신탁(주식),한국투자신탁운용,,,,65.10,87.76,70.53,,,,32.72,25.94,25.27,2등급(높은 위험),0.51,"5,100","6,759",20221114,,ETF,,,
K55306BU2406,다올VIP밸류퇴직연금증권자투자신탁[주식]종류Ce,다올운용,,20.31,14.82,23.59,87.37,53.60,,10.73,9.87,19.95,70.23,54.05,1등급(매우 높은 위험),1.14,"11,400",23,20171101,,,,,
K553N9E27494,삼성액티브KoAct바이오헬스케어액티브증권상장지수투자신탁[주식],삼성액티브자산운용,,,,,87.27,58.08,,,,,70.23,54.05,2등급(높은 위험),0.57,"5,700","4,650",20230802,,ETF,,,
KR5236267161,한국밸류10년투자퇴직연금증권자투자신탁 1(주식)(C-E),한국투자밸류운용,,10.34,11.78,20.71,86.96,46.76,,10.73,9.87,19.95,70.23,54.05,2등급(높은 위험),0.95,"9,500",152,20170802,,,,,
KR5301AJ2714,미래에셋퇴직연금소비성장증권자투자신탁 1(주식)종류C-e,미래에셋운용,,8.30,7.39,17.85,86.92,67.50,,10.73,9.87,19.95,70.23,54.05,2등급(높은 위험),0.80,"8,000",29,20180327,계열사,,,,
