사업자명,미래에셋증권,,,,,,,,,,,,,,,,,,,,,,,
제도유형,DC/IRP,,,,,,,,,,,,,,,,,,,,,,,
상품유형,실적배당형 상품(펀드/ETF),,,,,,,,,,,,,,,,,,,,,,,
기준일,"2026-03-01, 제로인",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
※ 1년 수익률 상위순으로 펀드/ETF를 배열하였습니다. 1년 이상 기간의 수익률은 연평균 수익률입니다. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,"해당상품 수익률(%)(세전, 연)",,,,,,"참고지수 수익률(%)(세전, 연)",,,,,,,합성총보수 · 비용,,,,,,,,
KR5301AA1251,미래에셋TIGER증권증권상장지수투자신탁(주식),미래에셋운용,23.36,31.61,41.53,79.54,240.01,139.70,18.07,23.26,31.19,68.00,267.61,133.74,2등급(높은 위험),0.45,"4,500","4,187",20120515,계열사,ETF,,,
K55101DU0363,한국투자ACE원자력TOP10증권상장지수투자신탁(주식),한국투자신탁운용,,,,89.10,237.49,115.00,,,,43.88,170.25,119.84,1등급(매우 높은 위험),0.35,"3,500","2,727",20220627,,ETF,,,
K55107E85195,우리WON반도체밸류체인액티브증권상장지수투자신탁(주식),우리운용,,,,,237.05,177.08,,,,,170.25,119.84,2등급(높은 위험),0.37,"3,700","1,539",20240115,,ETF,,,
K55223DB4882,KBRISE네트워크인프라증권상장지수투자신탁(주식),KB운용,,,27.11,64.36,236.43,182.33,,,18.16,43.88,170.25,119.84,1등급(매우 높은 위험),0.52,"5,200","1,454",20201028,,ETF,,,
K55301DL2400,미래에셋TIGER반도체TOP10증권상장지수투자신탁(주식),미래에셋운용,,,,68.50,235.29,199.57,,,,43.88,170.25,119.84,1등급(매우 높은 위험),0.51,"5,100","69,994",20210809,계열사,ETF,,,
K55105EC1749,삼성KODEXAI전력핵심설비증권상장지수투자신탁[주식],삼성운용,,,,,224.56,119.64,,,,,170.25,119.84,2등급(높은 위험),0.46,"4,600","16,985",20240708,,ETF,,,
K55105CG9781,삼성KODEXTop5PlusTotalReturn증권상장지수투자신탁[주식],삼성운용,,27.16,28.97,64.12,218.93,162.08,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.19,"1,900","17,826",20190121,,ETF,,,
K55301C47545,미래에셋TIGER코리아TOP10증권상장지수투자신탁(주식),미래에셋운용,,24.34,20.44,52.06,218.26,169.88,,19.77,18.11,46.58,198.31,147.44,2등급(높은 위험),0.19,"1,900","26,949",20180329,계열사,ETF,,,
K55232EE1347,NH-AmundiHANARO전력설비투자증권상장지수투자신탁(주식),NH-Amundi운용,,,,,218.07,119.47,,,,,170.25,119.84,2등급(높은 위험),0.43,"4,300","1,217",20240923,,ETF,,,
K55105DI5372,삼성KODEXAI반도체증권상장지수투자신탁[주식],삼성운용,,,,57.54,217.34,170.67,,,,43.88,170.25,119.84,1등급(매우 높은 위험),0.51,"5,100","25,243",20210729,,ETF,,,
KR5225578230,미래에셋TIGER반도체증권상장지수투자신탁(주식),미래에셋운용,21.82,26.69,25.44,60.98,214.60,184.95,20.89,25.86,24.49,59.87,210.21,182.65,1등급(매우 높은 위험),0.48,"4,800","8,735",20060626,계열사,ETF,,,
KR5105578185,삼성KODEX반도체증권상장지수투자신탁[주식],삼성운용,21.11,26.14,24.77,60.40,211.65,182.63,20.89,25.86,24.49,59.87,210.21,182.65,1등급(매우 높은 위험),0.46,"4,600","38,342",20060626,,ETF,,,
K55234EG3166,IBKITFK-AI반도체코어테크증권상장지수투자신탁[주식],아이비케이운용,,,,,211.32,165.98,,,,,170.25,119.84,2등급(높은 위험),0.44,"4,435",544,20250120,,ETF,,,
K55223C37088,KBRISEESG사회책임투자증권상장지수투자신탁(주식),KB운용,,24.51,24.43,57.09,204.21,146.51,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.33,"3,300","2,211",20180226,,ETF,,,
K55105BM5634,삼성KODEX IT증권상장지수투자신탁(주식),삼성운용,,22.83,19.05,44.82,201.50,167.61,,21.25,17.20,44.15,200.74,167.89,1등급(매우 높은 위험),0.47,"4,700",593,20170327,,ETF,,,
K55301E68232,미래에셋TIGER코리아테크액티브증권상장지수투자신탁(주식),미래에셋운용,,,,,195.03,139.02,,,,,170.25,119.84,2등급(높은 위험),0.79,"7,900",604,20231124,계열사,ETF,,,
KR5213185071,한화PLUS코스피50증권상장지수투자신탁(주식),한화운용,18.69,22.25,21.08,49.31,192.51,137.62,16.45,19.90,18.73,47.04,186.99,136.68,2등급(높은 위험),0.37,"3,700",978,20100106,,ETF,,,
K55206E61196,키움KIWOOMK-테크TOP10증권상장지수투자신탁[주식],키움투자운용,,,,,191.68,154.69,,,,,170.25,119.84,2등급(높은 위험),0.71,"7,100",223,20231030,,ETF,,,
K553H6E00495,더제이더행복코리아증권자투자신탁[주식]종류C-P2e,더제이운용,,,,44.95,190.19,125.32,,,,43.88,170.25,119.84,2등급(높은 위험),1.20,"12,000",279,20230125,,,,,
K55240EC9136,BNKBNK온디바이스AI증권상장지수투자신탁(주식),BNK자산운용,,,,,189.43,173.82,,,,,170.25,119.84,2등급(높은 위험),0.52,"5,200",655,20240722,,ETF,,,
K55232C99576,NH-Amundi필승코리아증권투자신탁[주식]ClassC-P2(퇴직연금),NH-Amundi운용,,,25.85,51.83,188.16,132.23,,,18.16,43.88,170.25,119.84,2등급(높은 위험),0.80,"8,000",427,20190828,,,,,
K55232C99584,NH-Amundi필승코리아증권투자신탁[주식]ClassC-P2e(퇴직연금),NH-Amundi운용,,,25.97,51.92,188.00,132.00,,,18.16,43.88,170.25,119.84,2등급(높은 위험),0.67,"6,700","3,446",20190826,,,,,
K55105CX1894,삼성KODEX 200ESG증권상장지수투자신탁[주식],삼성운용,,,24.25,52.60,187.49,134.19,,,18.16,43.88,170.25,119.84,2등급(높은 위험),0.12,"1,200",902,20191113,,ETF,,,
K55213E13359,한화PLUS태양광&ESS증권상장지수투자신탁(주식),한화운용,,,,,187.24,98.58,,,,,170.25,119.84,2등급(높은 위험),0.53,"5,300",708,20230619,,ETF,,,
K55105BQ9418,삼성KODEX우량주증권상장지수투자신탁[주식],삼성운용,,17.52,20.42,48.98,186.16,138.52,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.35,"3,500",374,20170710,,ETF,,,
KR5207A24857,교보악사파워K100증권상장지수투자신탁[주식],교보악사운용,17.83,21.39,21.01,47.95,182.91,127.88,15.36,18.78,18.37,45.06,176.78,126.29,2등급(높은 위험),0.18,"1,800",415,20110428,,ETF,,,
K55102EF9791,하나1Q코리아밸류업증권상장지수투자신탁[주식],하나운용,,,,,182.70,127.35,,,,,170.25,119.84,2등급(높은 위험),0.03,300,"1,004",20241101,,ETF,,,
K55301CG5815,미래에셋TIGERMSCIKOREATotalReturn증권상장지수투자신탁(주식),미래에셋운용,,20.79,19.91,46.10,182.64,130.48,,16.94,12.90,38.01,163.16,122.45,2등급(높은 위험),0.16,"1,600","48,001",20181119,계열사,ETF,,,
K55232BV9078,NH-Amundi 차세대리더증권투자신탁[주식]ClassC-P2e(퇴직연금),NH-Amundi운용,,21.59,21.85,46.73,182.56,117.44,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.97,"9,700",153,20171226,,,,,
K55105B98537,삼성KODEX코스피100증권상장지수투자신탁[주식],삼성운용,17.57,21.17,20.67,47.76,182.47,127.49,15.17,18.50,17.97,45.06,176.78,126.29,2등급(높은 위험),0.16,"1,600","6,457",20160126,,ETF,,,
K55105BW1235,삼성KODEX MSCI KOREATotalReturn증권상장지수투자신탁[주식],삼성운용,,20.73,19.88,46.00,182.39,130.43,,18.25,17.65,43.42,176.46,129.02,2등급(높은 위험),0.12,"1,200","26,535",20171108,,ETF,,,
K55223EF9191,KBRISE코리아밸류업증권상장지수투자신탁(주식),KB운용,,,,,182.29,127.33,,,,,170.25,119.84,2등급(높은 위험),0.03,300,"6,717",20241101,,ETF,,,
KR5216AB3979,DB마이티K100증권상장지수투자신탁[주식],DB자산운용,17.53,21.21,20.89,48.24,182.17,126.01,15.17,18.50,17.97,45.06,176.78,126.29,2등급(높은 위험),0.39,"3,900",210,20120704,,ETF,,,
K55213EF9375,한화PLUS코리아밸류업증권상장지수투자신탁(주식),한화운용,,,,,182.10,127.20,,,,,170.25,119.84,2등급(높은 위험),0.08,800,723,20241101,,ETF,,,
K55232CU2974,NH-AmundiHANAROMSCIKoreaTR증권상장지수투자신탁[주식],NH-Amundi운용,,,19.81,45.89,182.02,130.25,,,17.65,43.42,176.46,129.02,2등급(높은 위험),0.19,"1,900",995,20190827,,ETF,,,
KR5391A83228,키움KIWOOM100증권상장지수투자신탁[주식],키움투자운용,17.47,20.91,20.37,47.40,181.86,127.36,15.17,18.50,17.97,45.06,176.78,126.29,2등급(높은 위험),0.24,"2,400",276,20120228,,ETF,,,
K55206EF9358,키움KIWOOM코리아밸류업증권상장지수투자신탁[주식],키움투자운용,,,,,181.76,126.67,,,,,170.25,119.84,2등급(높은 위험),0.05,500,"1,187",20241101,,ETF,,,
KR5105AA2075,삼성KODEX MSCI KOREA증권상장지수투자신탁[주식],삼성운용,17.66,20.65,19.79,45.83,181.62,129.77,15.48,18.25,17.65,43.42,176.46,129.02,2등급(높은 위험),0.13,"1,300",358,20120427,,ETF,,,
K55105EF9186,삼성KODEX코리아밸류업증권상장지수투자신탁[주식],삼성운용,,,,,181.44,126.91,,,,,170.25,119.84,2등급(높은 위험),0.03,300,"6,938",20241101,,ETF,,,
K55232EF9588,NH-AmundiHANARO코리아밸류업증권상장지수투자신탁[주식],NH-Amundi운용,,,,,181.27,126.56,,,,,170.25,119.84,2등급(높은 위험),0.06,600,600,20241101,,ETF,,,
K55301EF9618,미래에셋TIGER코리아밸류업증권상장지수투자신탁(주식),미래에셋운용,,,,,181.10,126.64,,,,,170.25,119.84,2등급(높은 위험),0.03,300,"4,505",20241101,계열사,ETF,,,
K55210EF9550,신한SOL코리아밸류업TotalReturn증권상장지수투자신탁[주식],신한자산운용,,,,,180.77,126.41,,,,,170.25,119.84,2등급(높은 위험),0.09,900,"1,253",20241101,,ETF,,,
K55301CW6508,미래에셋코어테크증권자투자신탁(주식)종류C-P2e,미래에셋운용,,,18.68,41.46,180.57,137.73,,,18.16,43.88,170.25,119.84,1등급(매우 높은 위험),1.07,"10,700","3,384",20191023,계열사,,,,
K55101EF9826,한국투자ACE코리아밸류업증권상장지수투자신탁(주식),한국투자신탁운용,,,,,180.27,125.74,,,,,170.25,119.84,2등급(높은 위험),0.20,"2,000",227,20241101,,ETF,,,
K55301CW6490,미래에셋코어테크증권자투자신탁(주식)종류C-P2,미래에셋운용,,,18.32,41.03,179.79,137.44,,,18.16,43.88,170.25,119.84,1등급(매우 높은 위험),1.40,"14,000",403,20191023,계열사,,,,
K55102C96528,하나IT코리아증권자투자신탁 1[주식]ClassC-P2E,하나운용,,,18.32,40.92,179.24,135.49,,,21.97,51.73,253.85,193.51,2등급(높은 위험),1.16,"11,600",358,20200214,,,,,
K55107DY2526,우리WON200증권상장지수투자신탁(주식),우리운용,,,,47.08,178.97,121.38,,,,43.88,170.25,119.84,2등급(높은 위험),0.06,600,"1,076",20221215,,ETF,,,
K55203EA9349,대신DAISHIN343AI반도체&인프라액티브증권상장지수투자신탁[주식],대신운용,,,,,178.78,143.46,,,,,170.25,119.84,2등급(높은 위험),0.43,"4,300",711,20240617,,ETF,,,
KR5236267161,한국밸류10년투자퇴직연금증권자투자신탁 1(주식)(C-E),한국투자밸류운용,,18.32,20.16,45.01,178.38,113.00,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.96,"9,600",318,20170802,,,,,
K55301C21029,미래에셋TIGERMSCIKOREAESG유니버설증권상장지수투자신탁(주식),미래에셋운용,,20.62,19.63,45.83,178.13,126.48,,11.95,14.19,28.85,86.45,57.49,2등급(높은 위험),0.46,"4,600",188,20180206,계열사,ETF,,,
KR5236263400,한국밸류10년투자퇴직연금증권자투자신탁 1(주식)(C),한국투자밸류운용,12.06,17.85,19.69,44.46,177.41,112.64,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),1.36,"13,600",125,20130704,,,,,
K553F0E44647,디에스Maestro증권자투자신탁[주식] 종류C-P2e,디에스운용,,,,,177.38,94.10,,,,,170.25,119.84,2등급(높은 위험),1.24,"12,400",419,20230712,,,,,
K55105BZ5845,삼성KODEX MSCI ESG유니버설증권상장지수투자신탁[주식형],삼성운용,,20.35,19.85,45.62,177.36,125.33,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.35,"3,500",197,20180206,,ETF,,,
K553N9EF9468,삼성액티브KoAct코리아밸류업액티브증권상장지수투자신탁[주식],삼성액티브자산운용,,,,,177.34,129.78,,,,,170.25,119.84,2등급(높은 위험),0.52,"5,200","2,071",20241101,,ETF,,,
K55102DZ8758,하나1Q200액티브증권상장지수투자신탁[주식],하나운용,,,,46.51,177.34,121.61,,,,43.88,170.25,119.84,2등급(높은 위험),0.02,200,"2,538",20230130,,ETF,,,
K55105BW3843,삼성KODEX200TotalReturn증권상장지수투자신탁[주식],삼성운용,,21.00,20.59,46.81,176.82,121.68,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.08,800,"62,991",20171120,,ETF,,,
K55223EG1916,KB코리아밸류업액티브증권자투자신탁(주식)C-퇴직e,KB운용,,,,,176.79,125.75,,,,,170.25,119.84,2등급(높은 위험),1.12,"11,200",315,20241105,,,,,
K55223D93485,KBRISE200TotalReturn증권상장지수투자신탁(주식),KB운용,,,20.71,46.72,176.73,121.68,,,18.16,43.88,170.25,119.84,2등급(높은 위험),0.05,500,"4,892",20200820,,ETF,,,
K55232E17012,NH-AmundiHANAROCAPEX설비투자iSelect증권상장지수투자신탁(주식),NH-Amundi운용,,,,,176.70,84.21,,,,,73.65,42.29,2등급(높은 위험),0.52,"5,200","1,172",20230417,,ETF,,,
KR5223A66905,KBRISE200증권상장지수투자신탁(주식),KB운용,17.34,21.06,20.63,46.77,176.66,121.63,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.04,400,"32,671",20111019,,ETF,,,
K55101CT6711,한국투자ACE200TotalReturn증권상장지수투자신탁(주식),한국투자신탁운용,,,20.59,46.69,176.64,121.65,,,18.16,43.88,170.25,119.84,2등급(높은 위험),0.05,500,"1,401",20190827,,ETF,,,
KR5206352894,키움KIWOOM200상장지수증권투자신탁[주식],키움투자운용,17.23,20.91,20.48,46.67,176.62,121.47,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.07,700,"7,406",20021011,,ETF,,,
K55224ED5836,흥국HK200증권상장지수투자신탁[주식],흥국운용,,,,,176.60,121.57,,,,,170.25,119.84,2등급(높은 위험),0.09,900,815,20240909,,ETF,,,
KR5225812712,미래에셋TIGER200증권상장지수투자신탁(주식),미래에셋운용,17.34,21.05,20.63,46.77,176.57,121.51,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.07,700,"79,423",20080402,계열사,ETF,,,
KR5101877748,한국투자ACE200증권상장지수투자신탁(주식),한국투자신탁운용,17.24,20.94,20.55,46.63,176.55,121.68,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.04,400,"16,013",20080910,,ETF,,,
K55213EE1753,한화PLUS200TotalReturn증권상장지수투자신탁(주식),한화운용,,,,,176.55,121.51,,,,,170.25,119.84,2등급(높은 위험),0.05,500,506,20240909,,ETF,,,
K55105EE6431,삼성KODEX200액티브증권상장지수투자신탁[주식-파생형],삼성운용,,,,,176.52,121.59,,,,,170.25,119.84,2등급(높은 위험),0.16,"1,600","10,420",20241028,,ETF,,,
K55210C54247,신한SOL200TotalReturn증권상장지수투자신탁[주식],신한자산운용,,20.97,20.53,46.67,176.49,121.58,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.08,800,"4,203",20180420,,ETF,,,
KR5213A73001,한화PLUS200증권상장지수투자신탁(주식),한화운용,17.39,21.15,20.78,46.77,176.45,121.46,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.04,400,"15,848",20120109,,ETF,,,
KR5207A82418,교보악사파워K200증권상장지수투자신탁(주식),교보악사운용,17.39,21.14,20.80,46.75,176.35,121.46,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.17,"1,700","1,444",20120210,,ETF,,,
K55301CG5203,미래에셋TIGER200TotalReturn증권상장지수투자신탁(주식),미래에셋운용,,20.90,20.44,46.57,176.27,121.22,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.12,"1,200","2,658",20181119,계열사,ETF,,,
KR5105352888,삼성KODEX200증권상장지수투자신탁[주식],삼성운용,17.21,20.91,20.48,46.65,176.22,121.32,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.16,"1,600","196,894",20021011,,ETF,,,
K55203DT1106,대신DAISHIN343K200증권상장지수투자신탁[주식],대신운용,,,,46.97,176.17,121.05,,,,43.88,170.25,119.84,2등급(높은 위험),0.14,"1,400",671,20220627,,ETF,,,
K55206C46472,키움KIWOOM200TotalReturn증권상장지수투자신탁[주식],키움투자운용,,20.99,20.53,46.66,176.14,121.27,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.04,400,"19,025",20180420,,ETF,,,
K55232CU2966,NH-AmundiHANARO200TotalReturn증권상장지수투자신탁[주식],NH-Amundi운용,,,20.53,46.64,176.07,121.37,,,18.16,43.88,170.25,119.84,2등급(높은 위험),0.07,700,"2,233",20190827,,ETF,,,
K55232C57764,NH-AmundiHANARO200증권상장지수투자신탁[주식],NH-Amundi운용,,20.99,20.54,46.67,176.05,121.21,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.06,600,"6,865",20180329,,ETF,,,
K55207BU0715,교보악사파워인덱스증권자투자신탁 1(주식)ClassC-Pe,교보악사운용,,21.06,20.73,46.64,176.03,121.05,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.49,"4,900","4,657",20170814,,,,,
K55234E63129,IBKITF200증권상장지수투자신탁[주식],아이비케이운용,,,,,175.64,120.95,,,,,170.25,119.84,2등급(높은 위험),0.11,"1,100",284,20231220,,ETF,,,
KR5307905228,유리TREX200증권상장지수투자신탁(주식),유리운용,17.34,21.23,20.95,46.47,175.53,120.63,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.37,"3,700",190,20090122,,ETF,,,
K55368EH4351,iM에셋아이엠에셋200증권상장지수투자신탁(주식),iM에셋운용,,,,,175.32,120.97,,,,,170.25,119.84,2등급(높은 위험),0.15,"1,530",866,20250210,,ETF,,,
KR5207A10369,교보악사파워인덱스증권자투자신탁 1[주식]ClassCP,교보악사운용,16.87,20.70,20.38,46.22,175.30,120.77,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.79,"7,900",989,20150629,,,,,
K55105BU5998,삼성퇴직연금KOSPI200증권자투자신탁 1[주식]_Ce,삼성운용,,20.53,20.43,46.27,175.12,120.73,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.42,"4,200","3,482",20170822,,,,,
K55216DW2765,DB마이티다이나믹퀀트액티브증권상장지수투자신탁[주식],DB자산운용,,,,47.24,175.07,118.98,,,,43.88,170.25,119.84,2등급(높은 위험),0.31,"3,100",396,20221024,,ETF,,,
K55223EG1734,KB스타코리아밸류업인덱스증권자투자신탁(주식)C-퇴직e,KB운용,,,,,174.85,122.66,,,,,170.25,119.84,2등급(높은 위험),0.39,"3,900",502,20241105,,,,,
KR5307A60883,유리TREX펀더멘탈200증권상장지수투자신탁(주식),유리운용,18.77,22.94,24.91,48.24,174.72,116.57,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.45,"4,500",258,20110922,,ETF,,,
KR5206773776,키움KIWOOMKRX100상장지수증권투자신탁[주식],키움투자운용,16.62,20.24,19.93,46.60,174.69,124.78,14.23,17.60,17.22,44.36,169.73,123.72,2등급(높은 위험),0.27,"2,700",315,20080122,,ETF,,,
K55105BU5980,삼성퇴직연금KOSPI200증권자투자신탁 1[주식]_C,삼성운용,16.63,20.30,20.19,46.00,174.64,120.55,14.91,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.61,"6,100","1,252",20060328,,,,,
K55232E64931,NH-AmundiHANARO글로벌금채굴기업증권상장지수투자신탁[주식],NH-Amundi운용,,,,,174.44,90.28,,,,,38.79,30.14,2등급(높은 위험),0.52,"5,200","1,317",20240116,,ETF,,,
K55101BW5206,한국투자퇴직연금인덱스증권자투자신탁 1(주식)C-e,한국투자신탁운용,,20.61,20.05,45.89,174.32,120.40,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.30,"3,000",216,20171121,,,,,
K55210DX6936,신한SOL코리아메가테크액티브증권상장지수투자신탁[주식],신한자산운용,,,,60.27,174.21,100.65,,,,43.88,170.25,119.84,2등급(높은 위험),0.63,"6,300","6,505",20221017,,ETF,,,
K55301DE7374,미래에셋TIGERFn신재생에너지증권상장지수투자신탁(주식),미래에셋운용,,,,40.31,173.06,83.74,,,,43.88,170.25,119.84,1등급(매우 높은 위험),0.56,"5,600",934,20210304,계열사,ETF,,,
K55301BW0072,미래에셋베스트펀드컬렉션증권자투자신탁 1(주식-재간접형)종류C-P2e,미래에셋운용,,21.41,21.63,44.68,172.88,119.37,,17.69,16.42,41.44,160.07,108.31,3등급(다소 높은 위험),0.95,"9,500","1,608",20170921,계열사,,,,
K553J1EF9274,타임폴리오TIME코리아밸류업액티브증권상장지수투자신탁(주식),타임폴리오자산운용,,,,,172.75,114.45,,,,,170.25,119.84,2등급(높은 위험),0.89,"8,900","1,368",20241101,,ETF,,,
K55224DK4104,흥국HK베스트일레븐액티브증권상장지수투자신탁(주식),흥국운용,,,,48.27,172.22,105.79,,,,43.88,170.25,119.84,2등급(높은 위험),0.38,"3,800",232,20210705,,ETF,,,
K55301B35088,미래에셋베스트펀드컬렉션증권자투자신탁 1(주식-재간접형)종류C-P2,미래에셋운용,15.82,21.06,21.28,44.27,172.20,119.13,14.40,17.69,16.42,41.44,160.07,108.31,3등급(다소 높은 위험),1.25,"12,500",91,20150813,계열사,,,,
K55105BQ9434,삼성KODEX가치주증권상장지수투자신탁[주식],삼성운용,,19.76,20.38,41.64,171.16,119.91,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.35,"3,500",253,20170710,,ETF,,,
K55203C53681,대신KOSPI200인덱스증권자투자신탁[주식]ClassC-Pe,대신운용,,22.16,21.95,46.98,170.53,114.49,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.53,"5,300",395,20180404,,,,,
KR5203AC7289,대신KOSPI200인덱스증권자투자신탁[주식]ClassC-P,대신운용,,21.82,21.61,46.59,169.90,114.26,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.83,"8,300",58,20160905,,,,,
K55105DX9912,삼성KODEX아시아AI반도체exChina액티브증권상장지수투자신탁[주식],삼성운용,,,,65.08,167.18,136.24,,,,20.22,37.84,24.68,2등급(높은 위험),0.65,"6,500",225,20230130,,ETF,,,
KR5225A18018,미래에셋TIGER200건설증권상장지수투자신탁(주식),미래에셋운용,13.05,16.57,25.83,43.65,167.06,88.87,11.54,15.03,24.74,42.54,165.32,88.25,2등급(높은 위험),0.44,"4,400",557,20110405,계열사,ETF,,,
K55105C52102,삼성KODEXKRX300증권상장지수투자신탁[주식형],삼성운용,,20.23,19.94,45.45,164.73,115.19,,17.38,17.04,42.97,159.62,114.14,2등급(높은 위험),0.09,900,650,20180323,,ETF,,,
K55210C43489,신한SOLKRX300증권상장지수투자신탁[주식],신한자산운용,,20.17,19.87,45.44,164.64,115.46,,17.89,17.75,42.97,159.62,114.14,2등급(높은 위험),0.12,"1,200",220,20180323,,ETF,,,
K55105C60949,삼성KRX300인덱스증권투자신탁[주식-파생형]Cpe(퇴직연금),삼성운용,,19.95,19.88,45.24,164.47,114.98,,17.38,17.04,42.97,159.62,114.14,2등급(높은 위험),0.45,"4,500",60,20180417,,,,,
K55223C53515,KBRISEKRX300증권상장지수투자신탁(주식),KB운용,,20.27,20.03,45.29,164.46,115.79,,17.38,17.04,42.97,159.62,114.14,2등급(높은 위험),0.11,"1,100",156,20180323,,ETF,,,
K55226BZ7845,HDC좋은지배구조증권투자신탁 1(주식)ClassC-Pe,HDC운용,,,20.18,42.44,163.92,109.01,,,18.16,43.88,170.25,119.84,2등급(높은 위험),1.25,"12,500",11,20171208,,,,,
