사업자명,미래에셋증권,,,,,,,,,,,,,,,,,,,,,,,
제도유형,DC/IRP,,,,,,,,,,,,,,,,,,,,,,,
상품유형,실적배당형 상품(펀드/ETF),,,,,,,,,,,,,,,,,,,,,,,
기준일,"2026-03-01, 제로인",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
※ 1년 수익률 상위순으로 펀드/ETF를 배열하였습니다. 1년 이상 기간의 수익률은 연평균 수익률입니다. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,"해당상품 수익률(%)(세전, 연)",,,,,,"참고지수 수익률(%)(세전, 연)",,,,,,,합성총보수 · 비용,,,,,,,,
펀드코드,펀드명,운용회사명,수익률(10Y),수익률(7Y),수익률(5Y),수익률(3Y),수익률(1Y),수익률(6M),BM수익률(10Y),BM수익률(7Y),BM수익률(5Y),BM수익률(3Y),BM수익률(1Y),BM수익률(6M),위험등급,비율(%),1년투자비용(원),순자산총액(억원),설정일,계열사 여부,비고,,,
K55213DW6843,한화PLUS글로벌HBM반도체증권상장지수투자신탁(주식),한화운용,,,,84.22,298.02,228.54,,,,31.61,30.14,14.23,1등급(매우 높은 위험),0.65,"6,500","3,818",20220920,,ETF,,,
KR5105837847,삼성KODEX증권주증권상장지수투자신탁[주식],삼성운용,22.38,28.70,37.14,72.94,280.77,137.30,18.07,23.26,31.19,68.00,267.61,133.74,1등급(매우 높은 위험),0.46,"4,600","10,419",20080528,,ETF,,,
K55232DL2867,NH-AmundiHANAROFnK-반도체증권상장지수투자신탁(주식),NH-Amundi운용,,,,68.30,260.38,207.04,,,,43.88,170.25,119.84,1등급(매우 높은 위험),0.51,"5,100","15,543",20210729,,ETF,,,
K55223CJ3036,KBRISE대형고배당10TotalReturn증권상장지수투자신탁(주식),KB운용,,29.85,31.61,65.96,252.37,179.41,,18.49,18.16,43.88,170.25,119.84,2등급(높은 위험),0.13,"1,300","4,272",20190121,,ETF,,,
K55373EF1006,현대UNICORNSK하이닉스밸류체인액티브증권상장지수투자신탁[주식],현대자산운용,,,,,246.89,201.87,,,,,170.25,119.84,2등급(높은 위험),0.58,"5,800","1,254",20241106,,ETF,,,
K55101E67600,한국투자ACEAI반도체포커스증권상장지수투자신탁(주식),한국투자신탁운용,,,,,242.88,212.33,,,,,170.25,119.84,2등급(높은 위험),0.36,"3,600","3,999",20231016,,ETF,,,
K55232DU8475,NH-AmundiHANARO원자력iSelect증권상장지수투자신탁(주식),NH-Amundi운용,,,,97.12,242.79,100.72,,,,43.88,170.25,119.84,1등급(매우 높은 위험),0.52,"5,200","8,255",20220627,,ETF,,,
K55105D67108,삼성KODEX200ITTotalReturn증권상장지수투자신탁[주식],삼성운용,,,20.71,48.70,242.07,194.03,,,18.16,43.88,170.25,119.84,1등급(매우 높은 위험),0.18,"1,800","1,278",20200924,,ETF,,,
KR5225A18067,미래에셋TIGER200IT증권상장지수투자신탁(주식),미래에셋운용,23.11,24.79,20.52,48.37,240.55,193.27,22.18,23.89,19.78,47.35,238.22,193.20,1등급(매우 높은 위험),0.44,"4,400","8,894",20110405,계열사,ETF,,,
